Origin,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,ModelYear
USA,28.0,-0.8693480468143899,-1.009459099048806,-0.7840523578082584,-1.0253027985382497,-0.3797592034405436,-0.516396568189159
USA,22.3,-0.8693480468143899,-0.5302178575892881,-0.442811103455629,-0.11879578045186072,0.6241021665682525,0.8439098278796013
USA,12.0,1.483887183355597,1.4825953565406869,1.4471404591127797,1.736877409513218,-0.7382811213008278,-1.0605191266166631
USA,38.0,-0.8693480468143899,-0.8656867266109506,-1.099044284902993,-1.0253027985382497,-0.30805481986848704,1.6600936655208576
Japan,33.8,-0.8693480468143899,-0.9423653252444735,-0.9940469758714149,-1.0016032686536382,0.8750675090704512,1.1159711070933533
USA,19.4,0.3072695682706036,0.3515860266962247,-0.3903124489398399,0.2603966977019229,0.5882499747822235,0.5718485486658492
Japan,38.1,-0.8693480468143899,-1.0190439238779962,-1.177792266676677,-1.2113441081324499,1.1618850433586787,1.1159711070933533
Europe,30.0,-0.8693480468143899,-0.472708908614146,-0.9940469758714149,0.3077957574711459,2.2374507969395316,1.1159711070933533
USA,20.0,0.3072695682706036,0.025701982503752566,-0.2590658126503671,0.13241923632502095,0.3372846322800248,-0.516396568189159
Japan,20.0,-0.8693480468143899,-0.9423653252444735,-0.442811103455629,-0.8428164184267414,1.2335894269307355,-0.788457847402911
Europe,27.0,-0.8693480468143899,-0.9423653252444735,-1.177792266676677,-1.3701309583593468,1.2335894269307355,-1.3325804058304151
USA,16.5,1.483887183355597,1.4825953565406869,1.972127004270671,1.6468191959516945,-1.2402118063052259,0.02772599023834512
USA,24.5,-0.8693480468143899,-0.4247847844681942,-0.442811103455629,-0.2965422545864468,0.15802367334988274,0.29978726945209716
USA,11.0,1.483887183355597,1.9618365980002046,1.184647186533834,2.3779496928919586,-0.5590201623706857,-0.788457847402911
USA,16.9,1.483887183355597,1.4825953565406869,1.3158938228233068,1.6231196660670828,-0.2363504362964298,0.8439098278796013
Japan,33.7,-0.8693480468143899,-0.84651707695257,-0.7840523578082584,-0.924579796528651,-0.4156113952265719,1.3880323863071053
Europe,21.6,-0.8693480468143899,-0.7123295293439049,0.26592073250752424,-0.23136854740376525,0.0504670979917972,0.5718485486658492
USA,14.0,1.483887183355597,1.1758809620065953,1.184647186533834,1.2877713181998305,-0.5590201623706857,-1.0605191266166631
Europe,26.0,-0.8693480468143899,-0.9327805004152832,-0.3903124489398399,-0.8594060893459694,-0.021237285580259387,-0.788457847402911
USA,28.4,-0.8693480468143899,-0.4247847844681942,-0.3903124489398399,-0.379490609182587,0.15802367334988274,0.8439098278796013
USA,13.0,1.483887183355597,1.0225237647395498,0.6334113141180482,0.21181266143846939,-1.2760639980912543,-0.24433528897540693
USA,16.0,0.3072695682706036,0.6007914722551739,0.1346740962180514,0.7604567782672251,0.8750675090704512,-0.516396568189159
USA,20.0,-0.8693480468143899,-0.5302178575892881,-0.3903124489398399,-0.6899544506709974,1.4128503858608774,-1.0605191266166631
USA,25.0,0.3072695682706036,-0.1372400395924835,0.1346740962180514,-0.05362207326917916,0.3014324404939959,1.6600936655208576
Europe,41.5,-0.8693480468143899,-0.9327805004152832,-0.7578030305503638,-1.002788245147869,-0.30805481986848704,1.1159711070933533
USA,14.0,1.483887183355597,1.4825953565406869,1.5783870954022525,1.4441882154382661,-1.2760639980912543,-1.3325804058304151
USA,25.8,-0.8693480468143899,-0.3768606603222424,-0.3378137944240508,-0.4387394338941157,-0.4156113952265719,1.3880323863071053
USA,25.1,-0.8693480468143899,-0.5302178575892881,-0.442811103455629,-0.3202417844710583,-0.05708947736628768,0.5718485486658492
USA,20.0,0.3072695682706036,0.3515860266962247,-0.12781917636089424,-0.09035634459032695,0.15802367334988274,-0.24433528897540693
USA,17.0,1.483887183355597,1.0416934143979304,1.184647186533834,0.8078558380364481,-1.4553249570213962,-1.0605191266166631
Japan,20.0,0.3072695682706036,-0.3768606603222424,0.4496660233127862,-0.21714882947299835,-0.7382811213008278,-0.788457847402911
Japan,31.6,-0.8693480468143899,-0.7219143541730952,-0.810301685066153,-0.42096478648065705,0.9826240844285367,1.3880323863071053
Europe,22.0,-0.8693480468143899,-0.7123295293439049,-0.7578030305503638,-0.5679018717652482,0.8750675090704512,-1.0605191266166631
Europe,26.0,-0.8693480468143899,-1.1148921721698999,-0.9940469758714149,-1.2172689906036027,-0.021237285580259387,-0.516396568189159
USA,21.0,0.3072695682706036,0.34200120186703437,0.1346740962180514,0.05776571718849479,-0.2004982445104015,-0.24433528897540693
Japan,29.8,-0.8693480468143899,-0.5877268065644302,-0.3903124489398399,-0.33090657291913345,-0.021237285580259387,1.1159711070933533
Japan,31.0,-0.8693480468143899,-1.1915707708034227,-1.046545630387204,-1.4424145245074118,1.2335894269307355,-1.3325804058304151
USA,13.0,1.483887183355597,1.9618365980002046,1.184647186533834,1.7463572214670626,-1.2760639980912543,-0.788457847402911
USA,16.0,1.483887183355597,1.1758809620065953,1.184647186533834,1.4216736620478854,-0.91754208023097,0.02772599023834512
USA,14.0,1.483887183355597,2.4794171387764843,3.022100094586454,1.6160098071016995,-2.3516297516721067,-1.6046416850441672
USA,15.0,1.483887183355597,1.4825953565406869,1.5783870954022525,0.8327403444152901,-1.4553249570213962,-1.6046416850441672
Japan,44.6,-0.8693480468143899,-0.9998742742196156,-0.9940469758714149,-1.3511713344516576,-0.6307245459427423,1.1159711070933533
